Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT4,NO,02/01/2020 03:15,2.80000,ppb,P
CT4,NO,02/01/2020 03:30,3.60000,ppb,P
CT4,NO,02/01/2020 03:45,1.00000,ppb,P
CT4,NO,02/01/2020 04:00,1.30000,ppb,P
CT4,NO,02/01/2020 04:15,2.60000,ppb,P
CT4,NO,02/01/2020 04:30,2.70000,ppb,P
CT4,NO,02/01/2020 04:45,5.00000,ppb,P
CT4,NO,02/01/2020 05:00,1.90000,ppb,P
CT4,NO,02/01/2020 05:15,2.10000,ppb,P
CT4,NO,02/01/2020 05:30,9.80000,ppb,P
CT4,NO,02/01/2020 05:45,5.00000,ppb,P
CT4,NO,02/01/2020 06:00,7.10000,ppb,P
CT4,NO,02/01/2020 06:15,12.20000,ppb,P
CT4,NO,02/01/2020 06:30,3.80000,ppb,P
CT4,NO,02/01/2020 06:45,3.60000,ppb,P
CT4,NO,02/01/2020 07:00,10.40000,ppb,P
CT4,NO,02/01/2020 07:15,8.10000,ppb,P
CT4,NO,02/01/2020 07:30,14.50000,ppb,P
CT4,NO,02/01/2020 07:45,19.40000,ppb,P
CT4,NO,02/01/2020 08:00,11.50000,ppb,P
CT4,NO,02/01/2020 08:15,9.00000,ppb,P
CT4,NO,02/01/2020 08:30,9.50000,ppb,P
CT4,NO,02/01/2020 08:45,15.40000,ppb,P
CT4,NO,02/01/2020 09:00,9.20000,ppb,P
CT4,NO,02/01/2020 09:15,12.60000,ppb,P
CT4,NO,02/01/2020 09:30,16.10000,ppb,P
CT4,NO,02/01/2020 09:45,18.70000,ppb,P
CT4,NO,02/01/2020 10:00,11.60000,ppb,P
CT4,NO,02/01/2020 10:15,12.30000,ppb,P
CT4,NO,02/01/2020 10:30,18.60000,ppb,P
CT4,NO,02/01/2020 10:45,12.40000,ppb,P
CT4,NO,02/01/2020 11:00,7.00000,ppb,P
CT4,NO,02/01/2020 11:15,10.50000,ppb,P
CT4,NO,02/01/2020 11:30,7.50000,ppb,P
CT4,NO,02/01/2020 11:45,7.10000,ppb,P
CT4,NO,02/01/2020 12:00,8.30000,ppb,P
CT4,NO,02/01/2020 12:15,14.70000,ppb,P
CT4,NO,02/01/2020 12:30,10.10000,ppb,P
CT4,NO,02/01/2020 12:45,14.10000,ppb,P
CT4,NO,02/01/2020 13:00,6.50000,ppb,P
CT4,NO,02/01/2020 13:15,11.70000,ppb,P
CT4,NO,02/01/2020 13:30,10.20000,ppb,P
CT4,NO,02/01/2020 13:45,8.30000,ppb,P
CT4,NO,02/01/2020 14:00,14.70000,ppb,P
CT4,NO,02/01/2020 14:15,11.30000,ppb,P
CT4,NO,02/01/2020 14:30,12.90000,ppb,P
CT4,NO,02/01/2020 14:45,8.10000,ppb,P
CT4,NO,02/01/2020 15:00,9.30000,ppb,P
CT4,NO,02/01/2020 15:15,6.00000,ppb,P
CT4,NO,02/01/2020 15:30,6.70000,ppb,P
CT4,NO,02/01/2020 15:45,8.30000,ppb,P
CT4,NO,02/01/2020 16:00,11.30000,ppb,P
CT4,NO,02/01/2020 16:15,13.20000,ppb,P
CT4,NO,02/01/2020 16:30,18.30000,ppb,P
CT4,NO,02/01/2020 16:45,9.90000,ppb,P
CT4,NO,02/01/2020 17:00,7.10000,ppb,P
CT4,NO,02/01/2020 17:15,7.60000,ppb,P
CT4,NO,02/01/2020 17:30,10.40000,ppb,P
CT4,NO,02/01/2020 17:45,6.60000,ppb,P
CT4,NO,02/01/2020 18:00,7.40000,ppb,P
CT4,NO,02/01/2020 18:15,11.50000,ppb,P
CT4,NO,02/01/2020 18:30,7.70000,ppb,P
CT4,NO,02/01/2020 18:45,7.90000,ppb,P
CT4,NO,02/01/2020 19:00,5.00000,ppb,P
CT4,NO,02/01/2020 19:15,9.20000,ppb,P
CT4,NO,02/01/2020 19:30,11.20000,ppb,P
CT4,NO,02/01/2020 19:45,7.10000,ppb,P
