Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CT6,CO,01/01/2010 11:00,0.80000,ppm,R
CT6,CO,01/01/2010 11:15,0.80000,ppm,R
CT6,CO,01/01/2010 11:30,0.80000,ppm,R
CT6,CO,01/01/2010 11:45,0.50000,ppm,R
CT6,CO,01/01/2010 12:00,0.70000,ppm,R
CT6,CO,01/01/2010 12:15,0.80000,ppm,R
CT6,CO,01/01/2010 12:30,0.60000,ppm,R
CT6,CO,01/01/2010 12:45,0.80000,ppm,R
CT6,CO,01/01/2010 13:00,0.90000,ppm,R
CT6,CO,01/01/2010 13:15,0.80000,ppm,R
CT6,CO,01/01/2010 13:30,0.90000,ppm,R
CT6,CO,01/01/2010 13:45,0.90000,ppm,R
CT6,CO,01/01/2010 14:00,0.70000,ppm,R
CT6,CO,01/01/2010 14:15,0.80000,ppm,R
CT6,CO,01/01/2010 14:30,0.50000,ppm,R
CT6,CO,01/01/2010 14:45,0.60000,ppm,R
CT6,CO,01/01/2010 15:00,0.70000,ppm,R
CT6,CO,01/01/2010 15:15,0.50000,ppm,R
CT6,CO,01/01/2010 15:30,0.70000,ppm,R
CT6,CO,01/01/2010 15:45,0.70000,ppm,R
CT6,CO,01/01/2010 16:00,0.80000,ppm,R
CT6,CO,01/01/2010 16:15,0.80000,ppm,R
CT6,CO,01/01/2010 16:30,0.80000,ppm,R
CT6,CO,01/01/2010 16:45,0.60000,ppm,R
CT6,CO,01/01/2010 17:00,0.80000,ppm,R
CT6,CO,01/01/2010 17:15,0.80000,ppm,R
CT6,CO,01/01/2010 17:30,1.00000,ppm,R
CT6,CO,01/01/2010 17:45,0.90000,ppm,R
CT6,CO,01/01/2010 18:00,0.60000,ppm,R
CT6,CO,01/01/2010 18:15,0.80000,ppm,R
CT6,CO,01/01/2010 18:30,0.90000,ppm,R
CT6,CO,01/01/2010 18:45,1.00000,ppm,R
CT6,CO,01/01/2010 19:00,1.00000,ppm,R
CT6,CO,01/01/2010 19:15,0.90000,ppm,R
CT6,CO,01/01/2010 19:30,0.90000,ppm,R
CT6,CO,01/01/2010 19:45,0.50000,ppm,R
CT6,CO,01/01/2010 20:00,0.90000,ppm,R
CT6,CO,01/01/2010 20:15,1.00000,ppm,R
CT6,CO,01/01/2010 20:30,0.90000,ppm,R
CT6,CO,01/01/2010 20:45,0.80000,ppm,R
CT6,CO,01/01/2010 21:00,0.80000,ppm,R
